user_id,session_number,session_start_date,unix_timestamp,campaign_id,domain,entry,referral,pageviews,transactions
1bd1bd94-9338-41af-89be-7a966f4240b1,1,9/3/16 20:08,1472926080,512,www.themarketingtechnologist.co,www.themarketingtechnologist.co,www.google.nl,4,0
1bd1bd94-9338-41af-89be-7a966f4240b1,2,9/5/16 12:12,1473069631,121,www.themarketingtechnologist.co,www.themarketingtechnologist.co,www.google.nl,6,0
1bd1bd94-9338-41af-89be-7a966f4240b1,3,9/8/16 17:05,1473348648,879,www.themarketingtechnologist.co,www.themarketingtechnologist.co,www.google.nl,4,0
2a50dc0e-36f6-49e2-aa93-43d4b29fa983,1,9/3/16 00:12,1472854183,612,www.themarketingtechnologist.co,www.themarketingtechnologist.co,www.google.nl,4,0
2a50dc0e-36f6-49e2-aa93-43d4b29fa983,2,9/4/16 01:01,1472944646,100,www.themarketingtechnologist.co,www.themarketingtechnologist.co,www.google.nl,5,0
2a50dc0e-36f6-49e2-aa93-43d4b29fa983,3,9/7/16 07:07,1473224807,948,www.themarketingtechnologist.co,www.themarketingtechnologist.co,www.google.nl,8,0
2a50dc0e-36f6-49e2-aa93-43d4b29fa983,4,9/9/16 05:05,1473392223,625,www.themarketingtechnologist.co,www.themarketingtechnologist.co,www.google.nl,10,0
0128b0a5-958c-48c0-a5b8-8f0e4107e255,1,9/4/16 09:09,1472973040,544,www.themarketingtechnologist.co,www.themarketingtechnologist.co,www.google.nl,5,0
0128b0a5-958c-48c0-a5b8-8f0e4107e255,2,9/7/16 21:09,1473277490,849,www.themarketingtechnologist.co,www.themarketingtechnologist.co,www.google.nl,5,0
0128b0a5-958c-48c0-a5b8-8f0e4107e255,3,9/9/16 07:07,1473400132,856,www.themarketingtechnologist.co,www.themarketingtechnologist.co,www.google.nl,2,0
0128b0a5-958c-48c0-a5b8-8f0e4107e255,4,9/10/16 23:11,1473543095,858,www.themarketingtechnologist.co,www.themarketingtechnologist.co,www.google.nl,5,0
0128b0a5-958c-48c0-a5b8-8f0e4107e255,5,9/12/16 17:05,1473692546,669,www.themarketingtechnologist.co,www.themarketingtechnologist.co,www.google.nl,6,0
0128b0a5-958c-48c0-a5b8-8f0e4107e255,6,9/14/16 03:03,1473815019,846,www.themarketingtechnologist.co,www.themarketingtechnologist.co,www.google.nl,5,0
0a67476f-1f1c-4eb6-b154-d20251145f50,1,9/2/16 06:06,1472791533,853,www.themarketingtechnologist.co,www.themarketingtechnologist.co,www.google.nl,2,0
0a67476f-1f1c-4eb6-b154-d20251145f50,2,9/4/16 17:05,1473002366,286,www.themarketingtechnologist.co,www.themarketingtechnologist.co,www.google.nl,1,0
0a67476f-1f1c-4eb6-b154-d20251145f50,3,9/7/16 01:01,1473205465,293,www.themarketingtechnologist.co,www.themarketingtechnologist.co,www.google.nl,5,0
0a67476f-1f1c-4eb6-b154-d20251145f50,4,9/8/16 16:04,1473344377,843,www.themarketingtechnologist.co,www.themarketingtechnologist.co,www.google.nl,18,0
0a67476f-1f1c-4eb6-b154-d20251145f50,5,9/10/16 18:06,1473523787,652,www.themarketingtechnologist.co,www.themarketingtechnologist.co,www.google.nl,4,0
0a67476f-1f1c-4eb6-b154-d20251145f50,6,9/14/16 07:07,1473831694,32,www.themarketingtechnologist.co,www.themarketingtechnologist.co,www.google.nl,8,0
0a67476f-1f1c-4eb6-b154-d20251145f50,7,9/18/16 02:02,1474158445,273,www.themarketingtechnologist.co,www.themarketingtechnologist.co,www.google.nl,2,0
0a67476f-1f1c-4eb6-b154-d20251145f50,8,9/20/16 21:09,1474400045,60,www.themarketingtechnologist.co,www.themarketingtechnologist.co,www.google.nl,17,0
2b086800-e120-44e7-9be8-7f5c80a38cea,1,9/2/16 17:05,1472829534,123,www.themarketingtechnologist.co,www.themarketingtechnologist.co,www.google.nl,5,0
2b086800-e120-44e7-9be8-7f5c80a38cea,2,9/6/16 01:01,1473116983,553,www.themarketingtechnologist.co,www.themarketingtechnologist.co,www.google.nl,6,0
4964f380-cbf4-4441-ad98-186b52879e98,1,9/3/16 19:07,1472922100,175,www.themarketingtechnologist.co,www.themarketingtechnologist.co,www.google.nl,2,0
4964f380-cbf4-4441-ad98-186b52879e98,2,9/7/16 04:04,1473214085,803,www.themarketingtechnologist.co,www.themarketingtechnologist.co,www.google.nl,2,0
4964f380-cbf4-4441-ad98-186b52879e98,3,9/10/16 23:11,1473542564,288,www.themarketingtechnologist.co,www.themarketingtechnologist.co,www.google.nl,4,0
